GAME,LOCATION,COORD_X,COORD_Y,DISTANCE,SHOT_CLOCK,DRIBBLES,TOUCHES,AREA,ASSISTS,EXTRA_PASS,FROM,END,TARGET,SITUATION,FINAL,PERIOD,SCORE,DIFFERENCE,PLAYER,Column,LINK,CHAMP_LEVEL,SEASON,COACH
vs Trieste R12,H,227.0,191.0,7.087384919700637,11.0,12.0,4.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,P,W,1.0,0--2,-2.0,Phil Greene IV,,team/vs Trieste R12/1,A2,2017/2018,Luca Dalmonte
vs Trieste R12,H,180.0,60.0,7.995,6.0,18.0,5.0,0.0,0.0,0.0,FT_IN,3_SHOT_MISSED,0.0,CO,W,1.0,0--4,-4.0,Jamal Jones,,team/vs Trieste R12/2,A2,2017/2019,Luca Dalmonte
vs Trieste R12,H,59.0,209.0,0.5418053155885424,21.0,3.0,1.0,1.0,1.0,0.0,STEAL,2_SHOT_MADE,1.0,FB,W,1.0,0--4,-4.0,Jamal Jones,,team/vs Trieste R12/3,A2,2017/2020,Luca Dalmonte
vs Trieste R12,H,58.0,240.0,1.0296295450306387,8.0,16.0,4.0,1.0,0.0,0.0,STEAL+THROW-IN,2_SHOT_MISSED,0.0,P+I,W,1.0,2--4,-2.0,Curtis Nwohuocha,,team/vs Trieste R12/4,A2,2017/2021,Luca Dalmonte
vs Trieste R12,H,89.0,214.0,1.639856091247034,23.0,2.0,1.0,1.0,0.0,0.0,STEAL,X_FS,0.0,FB,W,1.0,2--4,-2.0,Phil Greene IV,,team/vs Trieste R12/5,A2,2017/2022,Luca Dalmonte
vs Trieste R12,H,147.0,236.0,3.9772352206023722,13.0,10.0,4.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MADE,1.0,I,W,1.0,2--4,-2.0,Jamal Jones,,team/vs Trieste R12/6,A2,2017/2022,Luca Dalmonte
vs Trieste R12,H,236.0,243.0,7.445834405894345,17.0,8.0,1.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,FB,W,1.0,4--4,0.0,Simone Pierich,,team/vs Trieste R12/7,A2,2017/2023,Luca Dalmonte
vs Trieste R12,H,169.0,261.0,5.071349820314115,11.0,13.0,2.0,0.0,0.0,0.0,DR,2_SHOT_MADE,1.0,P+I,W,1.0,4--4,0.0,Jamal Jones,,team/vs Trieste R12/8,A2,2017/2024,Luca Dalmonte
vs Trieste R12,H,231.0,226.0,7.186590011959774,13.0,10.0,2.0,0.0,1.0,1.0,DR,3_SHOT_MADE,1.0,CO,W,1.0,6--4,2.0,Simone Pierich,,team/vs Trieste R12/9,A2,2017/2025,Luca Dalmonte
vs Trieste R12,H,262.0,225.0,8.392343296124151,2.0,27.0,3.0,0.0,0.0,0.0,STEAL+THROW-IN,3_SHOT_MISSED,0.0,I,W,1.0,9--4,5.0,Matteo Palermo,,team/vs Trieste R12/10,A2,2017/2026,Luca Dalmonte
vs Trieste R12,H,138.0,107.0,5.537725345301986,12.0,1.0,0.0,0.0,0.0,0.0,RO,2_SHOT_MADE,1.0,I,W,1.0,9--4,5.0,Jamal Jones,,team/vs Trieste R12/11,A2,2017/2027,Luca Dalmonte
vs Trieste R12,H,78.0,14.0,7.9702299214012635,3.0,22.0,4.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,CO,W,1.0,11--7,4.0,Jamal Jones,,team/vs Trieste R12/12,A2,2017/2028,Luca Dalmonte
vs Trieste R12,H,53.0,88.0,4.997481365648101,13.0,0.0,1.0,0.0,0.0,0.0,RO+FS+THROW-IN,2_SHOT_MISSED,0.0,I,W,1.0,11--7,4.0,Phil Greene IV,,team/vs Trieste R12/13,A2,2017/2029,Luca Dalmonte
vs Trieste R12,H,62.0,194.0,1.038455102544159,17.0,9.0,2.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,P,W,1.0,11--7,4.0,Phil Greene IV,,team/vs Trieste R12/14,A2,2017/2030,Luca Dalmonte
vs Trieste R12,H,98.0,130.0,3.8994149561184175,11.0,10.0,4.0,0.0,0.0,0.0,DR,X_TURNOVER,0.0,I,W,1.0,13--7,6.0,Matteo Palermo,,team/vs Trieste R12/15,A2,2017/2031,Luca Dalmonte
vs Trieste R12,H,184.0,203.0,5.367000838457173,5.0,18.0,4.0,0.0,0.0,0.0,SHOT_IN,2_FS,0.0,I,W,1.0,13--9,4.0,Phil Greene IV,,team/vs Trieste R12/16,A2,2017/2032,Luca Dalmonte
vs Trieste R12,H,146.0,212.0,3.8641502299988284,16.0,8.0,3.0,1.0,0.0,0.0,SHOT_IN,X_FS,0.0,I,W,1.0,15--12,3.0,Andrea Amato,,team/vs Trieste R12/17,A2,2017/2033,Luca Dalmonte
vs Trieste R12,H,259.0,19.0,11.286643123621833,0.0,11.0,4.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,I,W,1.0,15--12,3.0,Andrea Amato,,team/vs Trieste R12/18,A2,2017/2034,Luca Dalmonte
vs Trieste R12,H,88.0,243.0,1.914578282546838,11.0,12.0,3.0,1.0,0.0,0.0,STEAL+THROW-IN,X_FS,0.0,I,W,1.0,15--12,3.0,Jamal Jones,,team/vs Trieste R12/19,A2,2017/2035,Luca Dalmonte
vs Trieste R12,H,66.0,207.0,0.819928045623517,11.0,9.0,7.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,R,W,1.0,17--14,3.0,Mattia Udom,,team/vs Trieste R12/20,A2,2017/2036,Luca Dalmonte
vs Trieste R12,H,92.0,223.0,1.7761064157307693,21.0,4.0,0.0,1.0,0.0,0.0,STEAL,2_SHOT_MISSED,0.0,FB,W,1.0,17--14,3.0,Andrea Amato,,team/vs Trieste R12/21,A2,2017/2037,Luca Dalmonte
vs Trieste R12,H,66.0,244.0,1.3196760966237133,14.0,0.0,0.0,1.0,0.0,0.0,RO,2_SHOT_MADE,1.0,OR,W,1.0,17--14,3.0,Mattia Udom,,team/vs Trieste R12/22,A2,2017/2038,Luca Dalmonte
vs Trieste R12,H,71.0,200.0,1.1249319979447645,14.0,14.0,1.0,1.0,0.0,0.0,THROW-IN,2_SHOT_MISSED,0.0,P+I,W,2.0,19--17,2.0,Andrea Amato,,team/vs Trieste R12/23,A2,2017/2039,Luca Dalmonte
vs Trieste R12,H,209.0,320.0,7.507879860519879,11.0,10.0,3.0,0.0,1.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,P,W,2.0,19--19,0.0,Riccardo Visconti,,team/vs Trieste R12/24,A2,2017/2040,Luca Dalmonte
vs Trieste R12,H,53.0,250.0,1.3464887671273014,4.0,14.0,6.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,I,W,2.0,22--19,3.0,Leonardo Tote,,team/vs Trieste R12/25,A2,2017/2041,Luca Dalmonte
vs Trieste R12,H,154.0,220.0,4.175914869821941,14.0,5.0,3.0,1.0,0.0,0.0,DR,2_SHOT_MISSED,0.0,I,W,2.0,24--19,5.0,Jamal Jones,,team/vs Trieste R12/26,A2,2017/2042,Luca Dalmonte
vs Trieste R12,H,251.0,229.0,7.972138044464609,15.0,10.0,3.0,0.0,0.0,0.0,SHOT_IN,X_FS,0.0,I,W,2.0,24--21,3.0,Andrea Amato,,team/vs Trieste R12/27,A2,2017/2043,Luca Dalmonte
vs Trieste R12,H,153.0,386.0,7.813248748120079,6.0,6.0,3.0,0.0,1.0,1.0,THROW-IN,3_SHOT_MADE,1.0,CO,W,2.0,24--21,3.0,Riccardo Visconti,,team/vs Trieste R12/28,A2,2017/2044,Luca Dalmonte
vs Trieste R12,H,47.0,230.0,0.546,15.0,6.0,2.0,1.0,0.0,0.0,DR,2_FS,0.0,I,W,2.0,27--21,6.0,Mattia Udom,,team/vs Trieste R12/29,A2,2017/2045,Luca Dalmonte
vs Trieste R12,H,224.0,290.0,7.482005412989221,10.0,15.0,2.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,CO,W,2.0,29--23,6.0,Mattia Udom,,team/vs Trieste R12/30,A2,2017/2046,Luca Dalmonte
vs Trieste R12,H,229.0,154.0,7.498555060810049,15.0,8.0,3.0,0.0,0.0,0.0,DR,3_SHOT_MISSED,0.0,CO,W,2.0,29--23,6.0,Leonardo Tote,,team/vs Trieste R12/31,A2,2017/2047,Luca Dalmonte
vs Trieste R12,H,68.0,260.0,1.9014249919468293,12.0,2.0,0.0,1.0,0.0,0.0,OR,2_SHOT_MISSED,0.0,I,W,2.0,29--23,6.0,Mattia Udom,,team/vs Trieste R12/32,A2,2017/2048,Luca Dalmonte
vs Trieste R12,H,109.0,213.0,2.4208289902428053,4.0,20.0,2.0,1.0,0.0,0.0,FT_IN,2_SHOT_MADE,1.0,I,W,2.0,29--24,4.0,Phil Greene IV,,team/vs Trieste R12/33,A2,2017/2049,Luca Dalmonte
vs Trieste R12,H,72.0,219.0,0.9819949083371055,22.0,1.0,1.0,1.0,0.0,0.0,STEAL,2_SHOT_MADE,1.0,FB,W,2.0,31--24,7.0,Phil Greene IV,,team/vs Trieste R12/34,A2,2017/2050,Luca Dalmonte
vs Trieste R12,H,174.0,333.0,6.734476817095743,21.0,3.0,1.0,0.0,0.0,0.0,STEAL,2_SHOT_MISSED,0.0,FB,W,2.0,33--24,9.0,Andrea Amato,,team/vs Trieste R12/35,A2,2017/2051,Luca Dalmonte
vs Trieste R12,H,48.0,20.0,7.644099489148477,6.0,14.0,5.0,0.0,1.0,1.0,DR,3_SHOT_MADE,1.0,CO,W,2.0,33--24,9.0,Andrea Amato,,team/vs Trieste R12/36,A2,2017/2052,Luca Dalmonte
vs Trieste R12,H,186.0,85.0,7.449102093541208,6.0,12.0,3.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MADE,1.0,I,W,2.0,36--26,10.0,Phil Greene IV,,team/vs Trieste R12/37,A2,2017/2053,Luca Dalmonte
vs Trieste R12,H,63.0,277.0,2.4594749439666996,8.0,22.0,1.0,1.0,0.0,0.0,SHOT_IN,2_BLOCK+THROW-IN,0.0,I,W,2.0,39--29,10.0,Andrea Amato,,team/vs Trieste R12/38,A2,2017/2054,Luca Dalmonte
vs Trieste R12,H,69.0,303.0,3.4998018515338836,7.0,1.0,1.0,0.0,0.0,0.0,THROW-IN,2_FS,0.0,I,W,2.0,39--29,10.0,Leonardo Tote,,team/vs Trieste R12/39,A2,2017/2055,Luca Dalmonte
vs Trieste R12,H,205.0,78.0,8.181452682745284,4.0,17.0,5.0,0.0,1.0,0.0,TURNOVERS+THROW-IN,3_SHOT_MADE,1.0,CO,W,2.0,40--29,11.0,Andrea Amato,,team/vs Trieste R12/40,A2,2017/2056,Luca Dalmonte
vs Trieste R12,H,217.0,307.0,7.520126395214379,13.0,12.0,2.0,0.0,0.0,0.0,OF+THROW-IN,3_SHOT_MISSED,0.0,CO,W,2.0,43--29,14.0,Phil Greene IV,,team/vs Trieste R12/41,A2,2017/2057,Luca Dalmonte
vs Trieste R12,H,62.0,198.0,0.9137992120810785,5.0,15.0,3.0,1.0,0.0,0.0,DR,2_SHOT_MADE,1.0,I,W,2.0,43--29,14.0,Phil Greene IV,,team/vs Trieste R12/42,A2,2017/2058,Luca Dalmonte
vs Trieste R12,H,652.0,144.0,2.9989453146064533,7.0,19.0,3.0,1.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,I,W,3.0,45--32,13.0,Curtis Nwohuocha,,team/vs Trieste R12/43,A2,2017/2059,Luca Dalmonte
vs Trieste R12,H,674.0,180.0,1.4174769839401273,13.0,14.0,1.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MADE,1.0,I,W,3.0,45--35,10.0,Matteo Palermo,,team/vs Trieste R12/44,A2,2017/2060,Luca Dalmonte
vs Trieste R12,H,542.0,72.0,7.751587256813924,0.0,22.0,7.0,0.0,0.0,0.0,DR,X_FS,0.0,I,W,3.0,47--35,12.0,Matteo Palermo,,team/vs Trieste R12/45,A2,2017/2061,Luca Dalmonte
vs Trieste R12,H,456.0,144.0,9.139073968406208,7.0,7.0,2.0,0.0,0.0,0.0,THROW-IN,X_TURNOVER,0.0,P,W,3.0,47--35,12.0,Phil Greene IV,,team/vs Trieste R12/46,A2,2017/2062,Luca Dalmonte
vs Trieste R12,H,504.0,308.0,7.7106659245489295,6.0,21.0,3.0,0.0,0.0,0.0,THROW-IN,3_SHOT_MISSED,0.0,P+I,W,3.0,47--37,10.0,Phil Greene IV,,team/vs Trieste R12/47,A2,2017/2063,Luca Dalmonte
vs Trieste R12,H,503.0,147.0,7.372650608838046,3.0,8.0,2.0,0.0,0.0,0.0,OR,3_SHOT_MISSED,0.0,P+I,W,3.0,47--37,10.0,Matteo Palermo,,team/vs Trieste R12/48,A2,2017/2064,Luca Dalmonte
vs Trieste R12,H,465.0,169.0,8.544916910069986,0.0,27.0,3.0,0.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,I,W,3.0,47--39,8.0,Matteo Palermo,,team/vs Trieste R12/49,A2,2017/2065,Luca Dalmonte
vs Trieste R12,H,648.0,168.0,2.228466961837218,16.0,12.0,2.0,1.0,0.0,0.0,SHOT_IN,2_SHOT_MISSED,0.0,I,W,3.0,47--41,6.0,Phil Greene IV,,team/vs Trieste R12/50,A2,2017/2066,Luca Dalmonte
vs Trieste R12,H,661.0,215.0,0.7030824987154779,13.0,0.0,0.0,1.0,1.0,0.0,OR,2_SHOT_MADE,1.0,OR,W,3.0,47--41,6.0,Mattia Udom,,team/vs Trieste R12/51,A2,2017/2067,Luca Dalmonte
vs Trieste R12,H,535.0,247.0,5.744661608833022,9.0,11.0,3.0,0.0,0.0,0.0,FT_OUT,2_SHOT_MISSED,0.0,P,W,3.0,49--43,6.0,Phil Greene IV,,team/vs Trieste R12/52,A2,2017/2068,Luca Dalmonte
vs Trieste R12,H,666.0,236.0,0.9302951144663719,2.0,1.0,2.0,1.0,0.0,0.0,OR,2_FS,0.0,C,W,3.0,49--43,6.0,Iris Ikangi,,team/vs Trieste R12/53,A2,2017/2069,Luca Dalmonte
vs Trieste R12,H,450.0,56.0,10.894969527263488,11.0,12.0,2.0,0.0,0.0,0.0,SHOT_IN,X_TURNOVER,0.0,I,W,3.0,51--45,6.0,Iris Ikangi,,team/vs Trieste R12/54,A2,2017/2070,Luca Dalmonte
vs Trieste R12,H,666.0,236.0,0.9302951144663719,4.0,14.0,4.0,1.0,0.0,0.0,TURNOVERS+THROW-IN,2_BLOCK,0.0,I,W,3.0,51--47,4.0,Mattia Udom,,team/vs Trieste R12/55,A2,2017/2071,Luca Dalmonte
vs Trieste R12,H,524.0,91.0,7.765800023178552,11.0,8.0,4.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,I,W,3.0,51--50,1.0,Mattia Udom,,team/vs Trieste R12/56,A2,2017/2072,Luca Dalmonte
vs Trieste R12,H,518.0,322.0,7.5176989165568475,11.0,11.0,5.0,0.0,0.0,0.0,TURNOVERS+THROW-IN,3_SHOT_MISSED,0.0,P,W,3.0,51--50,1.0,Andrea Amato,,team/vs Trieste R12/57,A2,2017/2073,Luca Dalmonte
vs Trieste R12,H,545.0,358.0,7.614494073804247,14.0,7.0,2.0,0.0,0.0,0.0,STEAL,3_SHOT_MISSED,0.0,CO,W,3.0,51--52,-1.0,Mattia Udom,,team/vs Trieste R12/58,A2,2017/2074,Luca Dalmonte
vs Trieste R12,H,524.0,104.0,7.457978881707832,7.0,15.0,5.0,0.0,0.0,0.0,SHOT_IN,3_SHOT_MISSED,0.0,I,W,3.0,51--54,-3.0,Andrea Amato,,team/vs Trieste R12/59,A2,2017/2075,Luca Dalmonte
