"title","idesco_level_4","esco_level_4"
"B93-C04 Softwareentwickler C++ und C#/.NET (m/w)","2512","Software developers"
"Gezocht: Oracle Developer #Freelance #PandS #Jobs #Vacatures (Req:9096–Loc:Bxl)","2512","Software developers"
"Senior (GXP Process Excellence) Engineer","2512","Software developers"
"Software-Entwickler (m/w/d) Buildsystem / Integration","2512","Software developers"
"Business Intelligence Developer","2512","Software developers"
"Microsoft Dynamics NAV Functional Consultant","2512","Software developers"
"Senior Ecotoxicological Expert","2512","Software developers"
"Senior Physical Layer Software Engineer - 729984","2512","Software developers"
"Junior of Senior Inkoper","2512","Software developers"
"Software Engineer .Net (SE01)","2512","Software developers"
"ABAP Developer - Industry (m/f/d)","2512","Software developers"
"Data Developer / Engineer Linux Python ETL","2512","Software developers"
"Senior UI & Workflow Developer with Activiti","2512","Software developers"
"Software Developer - Graduate Programme","2512","Software developers"
"1 Architecte D’interieur Charge De Clientele (m/f)","2512","Software developers"
"(Senior)-Betriebsleiter (m/w)","2512","Software developers"
"Architect - Award-Winning & Chartered Practice","2512","Software developers"
"Senior eDiscovery and Digital Forensics Consultant - Dublin","2512","Software developers"
"IAM developer","2512","Software developers"
"Software Engineer C/C++ (m/w)","2512","Software developers"
"Senior Software Engineer in Quality","2512","Software developers"
".NET C# developer with SCRUM","2512","Software developers"
"C# Developer","2512","Software developers"
"Software Developer BRM","2512","Software developers"
"C# .NET Developer (Contract)","2512","Software developers"
"SAP ABAP DEVELOPER","2512","Software developers"
"Werkstudent Finance (m/w/d)","2512","Software developers"
"Prozessmanager Microsoft Dynamics NAV (m/w)","2512","Software developers"
"SW-EntwicklerIn (Full-Stack) Python / Javascript","2512","Software developers"
"=  Java Software Development Engineer SL3  =","2512","Software developers"
"Senior Java Developer - Canary Wharf - Up to £80k","2512","Software developers"
"Java / PHP Developer","2512","Software developers"
"Senior Technician – Equipment Services Radiotherapy Physics","2512","Software developers"
"Software Engineer III - Clonakilty","2512","Software developers"
"Softwareentwickler (m/w) Oracle","2512","Software developers"
"Junior Back-end Developer","2512","Software developers"
"Sponsorship Executive (P/T - 4 days a week)","2512","Software developers"
"Senior Expert Inertial Sensors (IMU) for ""Digital Rail Germany"" (f/m/d)","2512","Software developers"
"Android Developer","2512","Software developers"
"Angular-5 Software Developer","2512","Software developers"
"Senior Expert (m/w/divers) Supplier Control","2512","Software developers"
"Senior Freight & Commodity Analyst","2512","Software developers"
"Architecte technique Weblogic Java H/F","2512","Software developers"
"Software Engineer - London - Indeed.co.uk","2512","Software developers"
"DB Pensions Specialist (Learning & Development)","2512","Software developers"
"Exclusieve huishoudhulp M/V te De Pinte 16 uur per week (M/V)","2512","Software developers"
"Dynamics CRM-konsult, Stockholm","2512","Software developers"
"Start Up Program - Trainee Medical Functions (m/w)","2512","Software developers"
"Senior Abap Developer Job em/no Lisboa | #1499210398 por Gigajob","2512","Software developers"
"Bioinformatics Software Developer","2512","Software developers"
"Job-Offer Java Backend Developer","2512","Software developers"
"SAASOPS SOFTWARE ENGINEERING MANAGER ($100K/YEAR) - REMOTE WORK","2512","Software developers"
"Senior Software Engineer (C# .Net)","2512","Software developers"
"Job ad - COPYWRITER, Vilnius, Full-time work, SPECTRO FINANCE, UAB | CV-Online","2512","Software developers"
"Entwicklungsredakteur (w/m)","2512","Software developers"
"Senior Specialist (m/f) in Basel 3 RWA Control","2512","Software developers"
"New Business - Senior Officer","2512","Software developers"
"Senior Cybersecurity Consultant","2512","Software developers"
"JAVA Software Developer Junior/Level","2512","Software developers"
"Ingénieur de développement COBOL DB2 / ASP .net","2512","Software developers"
"Software Developer for Corporate System & Technology (S&T) - TSR","2512","Software developers"
".NET Developer - Social Messaging Platform - Bridgend","2512","Software developers"
".NET / C# Entwickler (m/w) im Bereich Konstruktion","2512","Software developers"
"Trainee / Graduate Development Project Manager","2512","Software developers"
"Jobs.bg - DevOps Engineer, София, обява за работа от Мобайл Уейв Солюшънс ООД","2512","Software developers"
"Senior Softwareentwickler / Softwarearchitekt - C#.NET (m/w)","2512","Software developers"
"Data Team Lead","2512","Software developers"
"Senior Chef","2512","Software developers"
"SOFTWARE DEVELOPER","2512","Software developers"
"Software Architect","2512","Software developers"
"Senior Gardener","2512","Software developers"
"Senior Guestmanager (m/w) /// Live Marketing Agentur München","2512","Software developers"
"Senior Support Practitioner","2512","Software developers"
"Senior Software Engineering Manager","2512","Software developers"
"Corporate SAP TM Solution Architect (m/f)","2512","Software developers"
"Senior Softwareentwickler (w/m) Embedded Systems","2512","Software developers"
"Software Embedded Engineer","2512","Software developers"
